GEN_NUMB;ELEMENT;BEST_FITNESS; MID_FITNESS; WORST_FITNESS
125;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;246273;921;0;
126;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;344715;945;0;
127;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;272707;942;0;
128;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;257140;947;0;
129;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;370716;946;0;
130;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;404204;945;0;
131;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;400183;1053;0;
132;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;387281;944;0;
133;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;268533;965;0;
134;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;385638;922;0;
135;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;340350;966;0;
136;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;416018;956;0;
137;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;191160;914;0;
138;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;456256;969;0;
139;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;415569;904;0;
