GEN_NUMB;ELEMENT;BEST_FITNESS; MID_FITNESS; WORST_FITNESS
33;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;544668;1048;0;
34;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;432714;1000;0;
35;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;85827;1089;0;
36;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;4972;1022;0;
37;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;134571;1011;0;
38;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;236048;986;0;
39;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;442872;1110;0;
40;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;347058;987;0;
41;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;5210;955;0;
42;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;493215;1003;0;
43;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;517900;977;0;
44;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;52753;1012;0;
45;?1*0.5666208*5,2*0.6801581*5,4*-0.6359484*5,3*1.398289*5,3*0.5776268*6,4*0.1161427*6,2*0.8271523*6,0*0.1891404*6,4*0.03205741*8,3*0.7316398*8,2*0.899641*7,3*0.2952263*7,4*1.145881*7;305721;1034;0;
